Unnamed: 0,answer_relevancy,rouge2,rougel,bleu,faithfulness,answer_correctness,context_precision,rouge1,context_recall,model,Accuracy
q19,0.803451269,0.0,0.0,0.0,1.0,0.201119742,0.0,0.0,0.0,Ada + gpt4o,0
q20,0.816971074,0.0,0.0,0.0,0.0,0.210888942,1.0,0.0,0.0,Ada + gpt4o,0
q1,0.81464811,0.0,0.0,0.0,0.0,0.226431404,0.0,0.0,0.0,Baseline (gpt4o),0
q2,0.813283629,0.8,0.8571,0.0519,0.5,0.235419812,0.0,0.8571,0.0,Baseline (gpt4o),0
q3,0.829416859,0.0,0.0,0.0,0.0,0.20136828,0.0,0.0,0.0,Baseline (gpt4o),0
q4,0.827234375,0.0,0.0,0.0,0.0,0.219898083,0.0,0.0,0.0,Baseline (gpt4o),0
q5,0.922933603,0.0,0.0,0.0,0.0,0.211484773,0.0,0.0,0.0,Baseline (gpt4o),0
q6,0.779687534,0.0,0.0,0.0,0.0,0.201369641,0.0,0.0,0.0,Baseline (gpt4o),0
q7,0.759571267,0.0,0.0,0.0,0.0,0.192561425,0.0,0.0,0.0,Baseline (gpt4o),0
q8,0.815198928,0.0,0.0,0.0,0.0,0.207082897,0.0,0.0,0.0,Baseline (gpt4o),0
q9,0.744308413,0.0,0.5,0.1353,0.0,0.224653203,0.0,0.5,0.0,Baseline (gpt4o),0
q10,0.811159607,0.0,0.0,0.0,0.0,0.201576273,0.0,0.0,0.0,Baseline (gpt4o),0
q11,0.773254273,0.0,0.0,0.0,0.0,0.182034393,0.0,0.0,0.0,Baseline (gpt4o),0
q12,0.725678266,0.0,0.0,0.0,0.0,0.192536831,0.0,0.0,0.0,Baseline (gpt4o),0
q13,0.7722911,0.0,0.4,0.0,0.0,0.224571735,0.0,0.4,0.0,Baseline (gpt4o),0
q14,0.800183004,0.0,0.0,0.0,0.0,0.188256296,0.0,0.0,0.0,Baseline (gpt4o),0
q15,0.826932873,0.0,0.0,0.0,0.0,0.208260771,0.0,0.0,0.0,Baseline (gpt4o),0
q16,0.840076498,0.0,1.0,0.0,0.0,0.246546574,0.0,1.0,0.0,Baseline (gpt4o),0
q17,0.813447668,0.1818,0.4615,0.0,0.0,0.973302833,0.0,0.4615,0.0,Baseline (gpt4o),1
q18,0.830754616,0.0,0.0,0.0,0.0,0.21044702,0.0,0.0,0.0,Baseline (gpt4o),0
q19,0.776937515,0.0,0.0,0.0,0.0,0.196133418,0.0,0.0,0.0,Baseline (gpt4o),0
q20,0.816898959,0.0,0.0,0.0,0.0,0.210888942,0.0,0.0,0.0,Baseline (gpt4o),0
q1,0.789151107370321,0.0909090909090909,0.166666666666667,0.0001015488402239,1.0,0.414178134605846,0.9999999999,0.166666666666667,0.4,MedCPT + gpt-4.1-nano,0
q2,0.816743004863691,0.2,0.5,0.0317189107300131,1.0,0.534399411582142,0.9999999999,0.5,0.5,MedCPT + gpt-4.1-nano,1
q3,0.799832093736593,0.666666666666667,0.8,0.0,0.0,0.231502704749407,0.9999999999,0.8,1.0,MedCPT + gpt-4.1-nano,0
q4,0.764507737656587,0.571428571428572,0.666666666666667,0.135335283236613,1.0,0.615232388750116,0.9999999999,0.666666666666667,1.0,MedCPT + gpt-4.1-nano,1
q5,0.80056146573444,0.0,0.0,0.0,1.0,0.207052260187291,0.9999999999,0.0,1.0,MedCPT + gpt-4.1-nano,0
q6,0.0,0.0,0.0,0.0,0.0,0.178786181730497,0.9999999999,0.0,0.5,MedCPT + gpt-4.1-nano,0
q7,0.767252415954793,0.666666666666667,0.727272727272727,0.0,1.0,0.61453972823606,0.9999999999,0.727272727272727,1.0,MedCPT + gpt-4.1-nano,1
q8,0.0,0.0,0.0,0.0,1.0,0.188719271716175,0.9999999999,0.0,0.0,MedCPT + gpt-4.1-nano,0
q9,0.897251110593156,0.363636363636364,0.615384615384615,0.207483407130838,1.0,0.612234835422564,0.9999999999,0.615384615384615,1.0,MedCPT + gpt-4.1-nano,1
q10,0.856320303191334,1.0,1.0,1.0,0.5,1.0,0.9999999999,1.0,1.0,MedCPT + gpt-4.1-nano,1
q11,0.841773125703914,1.0,1.0,0.0456496931223525,0.6,0.997899002808375,0.9999999999,1.0,1.0,MedCPT + gpt-4.1-nano,1
q12,0.837198945422895,0.666666666666667,0.5,0.345654323273158,1.0,0.834284560450616,0.9999999999,0.8,0.666666666666667,MedCPT + gpt-4.1-nano,1
q13,0.833086069943511,0.0,0.0869565217391304,0.0141567246846834,0.5,0.410247210905781,0.9999999999,0.260869565217391,0.333333333333333,MedCPT + gpt-4.1-nano,0
q14,0.799893239627354,0.4,0.5,0.0558245337474659,0.0,0.529459614843049,0.9999999999,0.5,1.0,MedCPT + gpt-4.1-nano,1
q15,0.868689598409828,0.25,0.333333333333333,0.138152336648306,1.0,0.438960999444589,0.9999999999,0.444444444444445,0.25,MedCPT + gpt-4.1-nano,0
q16,0.757315408278469,1.0,1.0,1.0,1.0,1.0,0.9999999999,1.0,1.0,MedCPT + gpt-4.1-nano,1
q17,0.839072578309311,0.758620689655173,0.774193548387097,0.0323593484897578,0.5,0.736987385156321,0.9999999999,0.774193548387097,1.0,MedCPT + gpt-4.1-nano,1
q18,0.756752084874,0.56,0.666666666666667,0.145981920308657,1.0,0.73760306865251,0.9999999999,0.666666666666667,0.75,MedCPT + gpt-4.1-nano,1
q19,0.841134147747546,0.0,0.666666666666667,0.0,1.0,0.735805621723108,0.9999999999,0.666666666666667,1.0,MedCPT + gpt-4.1-nano,1
q20,0.828114424836977,0.375,0.555555555555556,0.0075458435207814,1.0,0.808841927073909,0.9999999999,0.555555555555556,1.0,MedCPT + gpt-4.1-nano,1
q1,0.789151107370321,0.0909090909090909,0.166666666666667,0.0001015488402239,1.0,0.414178134605846,0.9999999999,0.166666666666667,0.4,MedCPT + gpt-4.1-mini,0
q2,0.814398476537492,0.545454545454545,0.615384615384615,0.28650479686019,1.0,0.537950290796081,0.9999999999,0.615384615384615,0.5,MedCPT + gpt-4.1-mini,1
q3,0.8018144089496,0.0,0.0,0.0,0.0,0.207279367975218,0.9999999999,0.0,1.0,MedCPT + gpt-4.1-mini,0
q4,0.78776784810361,0.571428571428572,0.666666666666667,0.135335283236613,1.0,0.615232388750116,0.9999999999,0.666666666666667,1.0,MedCPT + gpt-4.1-mini,1
q5,0.792212879840876,0.0,0.25,0.0,1.0,0.730687101258812,0.9999999999,0.25,1.0,MedCPT + gpt-4.1-mini,1
q6,0.735679317615147,0.133333333333333,0.235294117647059,0.0,0.0,0.416307831438229,0.9999999999,0.235294117647059,0.5,MedCPT + gpt-4.1-mini,0
q7,0.794338565351884,1.0,1.0,0.168218950033415,1.0,0.999011275712835,0.9999999999,1.0,1.0,MedCPT + gpt-4.1-mini,1
q8,0.0,0.0,0.0952380952380952,0.0,1.0,0.183940278959601,0.9999999999,0.0952380952380952,0.0,MedCPT + gpt-4.1-mini,0
q9,0.897173652636068,0.363636363636364,0.615384615384615,0.207483407130838,1.0,0.612234835422564,0.9999999999,0.615384615384615,1.0,MedCPT + gpt-4.1-mini,1
q10,0.853139620246638,1.0,1.0,1.0,0.5,1.0,0.9999999999,1.0,1.0,MedCPT + gpt-4.1-mini,1
q11,0.841773125703914,1.0,1.0,0.0456496931223525,1.0,0.997899002808375,0.9999999999,1.0,1.0,MedCPT + gpt-4.1-mini,1
q12,0.837445404240681,0.666666666666667,0.5,0.345654323273158,1.0,0.834284560450616,0.9999999999,0.8,0.666666666666667,MedCPT + gpt-4.1-mini,1
q13,0.841380515429474,0.0,0.214285714285714,0.0201781356389616,1.0,0.37018570190458,0.9999999999,0.285714285714286,0.333333333333333,MedCPT + gpt-4.1-mini,0
q14,0.816365082475516,0.375,0.555555555555556,0.0632108714041725,0.0,0.73498820158221,0.9999999999,0.555555555555556,1.0,MedCPT + gpt-4.1-mini,1
q15,0.868689598409828,0.25,0.333333333333333,0.138152336648306,1.0,0.438960999444589,0.9999999999,0.444444444444445,0.25,MedCPT + gpt-4.1-mini,0
q16,0.757315408278469,1.0,1.0,1.0,1.0,1.0,0.9999999999,1.0,1.0,MedCPT + gpt-4.1-mini,1
q17,0.836689961401839,0.785714285714286,0.8,0.0447063442769312,1.0,0.98571023003793,0.9999999999,0.8,1.0,MedCPT + gpt-4.1-mini,1
q18,0.756752084874,0.56,0.666666666666667,0.145981920308657,1.0,0.73760306865251,0.9999999999,0.666666666666667,0.75,MedCPT + gpt-4.1-mini,1
q19,0.832743412871945,1.0,1.0,1.0,1.0,1.0,0.9999999999,1.0,1.0,MedCPT + gpt-4.1-mini,1
q20,0.828114424836977,0.375,0.555555555555556,0.0075458435207814,0.8,0.808841927073909,0.9999999999,0.555555555555556,1.0,MedCPT + gpt-4.1-mini,1
q1,0.980359,0.2222,0.2391,0.0212,0.0,0.550214,0.0,0.3261,0.0,notebookLM,1
q2,0.913317,0.08,0.1184,0.0523,1.0,0.498214,0.0,0.1184,0.0,notebookLM,0
q3,0.965768,0.05,0.0952,0.0,0.0,0.51595,0.0,0.0952,0.0,notebookLM,1
q4,0.948759,0.25,0.2353,0.0259,0.0,0.598146,0.0,0.3529,0.0,notebookLM,1
q5,0.971275,0.0769,0.2143,0.0366,0.0,0.725243,0.0,0.2143,0.0,notebookLM,1
q6,0.917711,0.3784,0.359,0.301,0.0,0.720725,0.0,0.5641,0.0,notebookLM,1
q7,0.89291,0.3871,0.4242,0.114,0.0,0.659934,0.0,0.4242,0.0,notebookLM,1
q8,0.900039,0.4545,0.5217,0.0,0.0,0.71564,0.0,0.5217,0.0,notebookLM,1
q9,0.974186,0.25,0.3529,0.1409,0.0,0.72432,0.0,0.3529,0.0,notebookLM,1
q10,0.866303,0.0909,0.1667,0.0269,0.0,0.726451,0.0,0.1667,0.0,notebookLM,1
q11,0.966354,0.1935,0.303,0.0217,0.0,0.753248,0.0,0.303,0.0,notebookLM,1
q12,0.932029,0.3889,0.4211,0.2352,0.0,0.791581,0.0,0.5263,0.0,notebookLM,1
q13,0.97094,0.0571,0.2703,0.0976,0.0,0.500802,0.0,0.3243,0.0,notebookLM,1
q14,0.963965,0.303,0.3429,0.0851,0.0,0.785197,0.0,0.4571,0.0,notebookLM,1
q15,0.939866,0.2143,0.4667,0.1026,0.0,0.88537,0.0,0.5333,0.0,notebookLM,1
q16,0.872801,0.25,0.3077,0.0293,0.0,0.822186,0.0,0.3077,0.0,notebookLM,1
q17,0.876194,0.0,0.125,0.0,0.0,0.198528,0.0,0.125,0.0,notebookLM,0
q18,0.890852,0.1333,0.25,0.0845,0.0,0.458805,0.0,0.25,0.0,notebookLM,0
q19,0.901767,0.125,0.2222,0.0359,0.0,0.968749,0.0,0.2222,0.0,notebookLM,1
q20,0.916487,0.1765,0.4444,0.0,0.0,0.466533,0.0,0.4444,0.0,notebookLM,0
q1,0.980359,0.1739,0.24,0.0,0.0,0.637877,0.0,0.24,0.0,notebookLM-specific,1
q2,0.920202,0.5455,0.6154,0.2026,1.0,0.392153,0.0,0.6154,0.0,notebookLM-specific,0
q3,0.965768,1.0,1.0,0.0,0.0,0.51595,0.0,1.0,0.0,notebookLM-specific,1
q4,0.948759,0.5714,0.6667,0.0,0.0,0.973146,0.0,0.6667,0.0,notebookLM-specific,1
q5,0.971275,0.0,0.0,0.0,0.0,0.725243,0.0,0.0,0.0,notebookLM-specific,1
q6,0.917711,0.25,0.3333,0.0025,0.0,0.670725,0.0,0.3333,0.0,notebookLM-specific,1
q7,0.884965,1.0,1.0,0.5774,0.0,0.731362,0.0,1.0,0.0,notebookLM-specific,1
q8,0.900039,0.8696,0.96,0.1353,0.0,0.81564,0.0,0.96,0.0,notebookLM-specific,1
q9,0.974186,0.4444,0.7273,0.3671,0.0,0.72432,0.0,0.7273,0.0,notebookLM-specific,1
q10,0.866333,1.0,1.0,0.0,0.0,0.655022,0.0,1.0,0.0,notebookLM-specific,1
q11,0.966354,1.0,1.0,0.7746,0.0,0.860391,0.0,1.0,0.0,notebookLM-specific,1
q12,0.932029,0.4286,0.375,0.0952,0.0,0.791581,0.0,0.625,0.0,notebookLM-specific,1
q13,0.97094,0.381,0.6087,0.1864,0.0,0.500802,0.0,0.6087,0.0,notebookLM-specific,1
q14,0.963965,0.7692,0.5333,0.0718,0.0,0.785197,0.0,0.8,0.0,notebookLM-specific,1
q15,0.922203,0.5333,0.7059,0.2843,0.0,0.88537,0.0,0.7059,0.0,notebookLM-specific,1
q16,0.872801,1.0,1.0,0.0,0.0,0.865044,0.0,1.0,0.0,notebookLM-specific,1
q17,0.876194,0.0,0.2222,0.0,0.0,0.198528,0.0,0.2222,0.0,notebookLM-specific,0
q18,0.890852,0.4,0.4706,0.185,0.0,0.508805,0.0,0.4706,0.0,notebookLM-specific,1
q19,0.901767,1.0,1.0,0.0,0.0,0.968749,0.0,1.0,0.0,notebookLM-specific,1
q20,0.920495,0.4706,0.6316,0.0834,0.0,0.466533,0.0,0.6316,0.0,notebookLM-specific,0
